#Cleaned Swift GRB table with redshift (from https://swift.gsfc.nasa.gov/archive/grb_table, using Swift_redshift_distribution.py to clean it)
#name 	 redshift
091127	 0.4903
091109A	 3.0760
091029	 2.7520
091024	 1.0920
091020	 1.7100
091018	 0.9710
090927	 1.3700
090926B	 1.2400
090812	 2.4520
090809	 2.7370
090726	 2.7100
090715B	 3.0000
090618	 0.5400
090530	 1.2660
090529	 2.6250
090519	 3.8500
090516A	 4.1090
090429B	 9.4000
090424	 0.5440
090423	 8.2000
090418A	 1.6080
090407	 1.4485
090313	 3.3750
090205	 4.6497
090113	 1.7493
090102	 1.5470
081222	 2.7700
081221	 2.2600
081203A	 2.1000
081121	 2.5120
081118	 2.5800
081029	 3.8479
081028A	 3.0380
081008	 1.9685
081007	 0.5295
080928	 1.6920
080916A	 0.6890
080913	 6.7000
080906	 2.0000
080905B	 2.3740
080810	 3.3500
080805	 1.5050
080804	 2.2045
080721	 2.5910
080710	 0.8450
080707	 1.2300
080607	 3.0360
080605	 1.6398
080604	 1.4160
080603B	 2.6900
080520	 1.5450
080516	 3.2000
080430	 0.7670
080413B	 1.1000
080413A	 2.4330
080411	 1.0300
080330	 1.5100
080319C	 1.9500
080319B	 0.9370
080310	 2.4266
080210	 2.6410
080207	 2.0858
071122	 1.1400
071117	 1.3310
071112C	 0.8230
071031	 2.6920
071028B	 0.9400
071021	 2.4520
071020	 2.1420
071010B	 0.9470
071010A	 0.9800
071003	 1.1000
070810A	 2.1700
070802	 2.4500
070721B	 3.6260
070714B	 0.9200
070612A	 0.6170
070611	 2.0400
070529	 2.4996
070521	 0.5530
070508	 0.8200
070506	 2.3100
070419A	 0.9700
070411	 2.9540
070318	 0.8360
070306	 1.4970
070208	 1.1650
070129	 2.3384
070110	 2.3520
070103	 2.6208
061222B	 3.3550
061222A	 2.0880
061210	 0.4100
061121	 1.3140
061110B	 3.4400
061110A	 0.7580
061021	 0.3463
061007	 1.2620
060927	 5.6000
060926	 3.2080
060912A	 0.9370
060908	 1.8836
060906	 3.6850
060904B	 0.7030
060814	 0.8400
060729	 0.5400
060719	 1.5320
060714	 2.7100
060707	 3.4300
060614	 0.1250
060607A	 3.0820
060605	 3.7800
060604	 2.1357
060602A	 0.7870
060526	 3.2100
060522	 5.1100
060512	 0.4428
060510B	 4.9000
060505	 0.0890
060502A	 1.5100
060418	 1.4890
060223A	 4.4100
060218	 0.0330
060210	 3.9100
060206	 4.0480
060124	 2.2970
060123	 1.0990
060115	 3.5300
060108	 2.0300
051117B	 0.4810
051111	 1.5490
051109B	 0.0800
051109A	 2.3460
051016B	 0.9364
051006	 1.0590
051001	 2.4296
050922C	 2.1980
050915A	 2.5273
050908	 3.3437
050904	 6.2900
050826	 0.2970
050824	 0.8300
050820A	 2.6147
050819	 2.5043
050814	 5.3000
050803	 0.4220
050802	 1.7100
050730	 3.9685
050724	 0.2570
050525A	 0.6060
050505	 4.2700
050416A	 0.6535
050406	 2.4400
050401	 2.9000
050319	 3.2400
050318	 1.4400
050315	 1.9490
050223	 0.5915
050126	 1.2900
